#question,correct_answer,incorrect_1,incorrect_2,incorrect_3,incorrect_4,incorrect_5,incorrect_6,incorrect_7,incorrect_8,incorrect_9,incorrect_10
Which team won the 2004 NBA Finals?,Detroit Pistons,Los Angeles Lakers,San Antonio Spurs,Miami Heat,Dallas Mavericks,Boston Celtics,Phoenix Suns,Cleveland Cavaliers,Chicago Bulls,Golden State Warriors,Toronto Raptors
Who was the 2008 NBA Finals MVP?,Paul Pierce,Kobe Bryant,Kevin Garnett,Ray Allen,Rajon Rondo,Pau Gasol,Lamar Odom,Tony Parker,LeBron James,Dirk Nowitzki,Tim Duncan
Which franchise relocated to become the Oklahoma City Thunder in 2008?,Seattle SuperSonics,Vancouver Grizzlies,New Jersey Nets,Charlotte Bobcats,New Orleans Hornets,Minnesota Timberwolves,Sacramento Kings,San Diego Clippers,Buffalo Braves,Utah Jazz,Denver Nuggets
Who won NBA MVP in the 2006–07 season?,Dirk Nowitzki,Kobe Bryant,Steve Nash,LeBron James,Tim Duncan,Kevin Garnett,Shaquille O'Neal,Dwyane Wade,Allen Iverson,Chris Paul,Dwight Howard
Which team won a then-record 73 regular-season games in 2015–16?,Golden State Warriors,Chicago Bulls,San Antonio Spurs,Los Angeles Lakers,Boston Celtics,Phoenix Suns,Houston Rockets,Utah Jazz,Cleveland Cavaliers,Toronto Raptors,Oklahoma City Thunder
Who set the single-season three-pointers made record with 402 in 2015–16?,Stephen Curry,Klay Thompson,James Harden,Damian Lillard,Ray Allen,Reggie Miller,Buddy Hield,Trae Young,Kyle Korver,Paul George,J.R. Smith
Which team came back from a 3–1 deficit to win the 2016 NBA Finals?,Cleveland Cavaliers,Golden State Warriors,San Antonio Spurs,Miami Heat,Los Angeles Clippers,Boston Celtics,Toronto Raptors,Oklahoma City Thunder,Dallas Mavericks,Phoenix Suns,Denver Nuggets
Who was the 2011 NBA Finals MVP?,Dirk Nowitzki,LeBron James,Dwyane Wade,Chris Bosh,Jason Terry,Kobe Bryant,Tim Duncan,Tony Parker,Kevin Durant,Paul Pierce,Kawhi Leonard
Which team won the 2019 NBA Finals?,Toronto Raptors,Golden State Warriors,Milwaukee Bucks,Philadelphia 76ers,Boston Celtics,Houston Rockets,Los Angeles Lakers,Denver Nuggets,Portland Trail Blazers,San Antonio Spurs,Atlanta Hawks
Who was the No. 1 overall pick in the 2003 NBA Draft (the year before 2004)?,LeBron James,Carmelo Anthony,Dwyane Wade,Chris Bosh,Darko Milicic,Dwight Howard,Greg Oden,Kevin Durant,Anthony Davis,Kyrie Irving,Blake Griffin
Which team won the 2006 NBA Finals?,Miami Heat,Dallas Mavericks,San Antonio Spurs,Detroit Pistons,Los Angeles Lakers,Phoenix Suns,Cleveland Cavaliers,Boston Celtics,New Jersey Nets,Houston Rockets,Toronto Raptors
Who scored 81 points in a game in 2006?,Kobe Bryant,LeBron James,Allen Iverson,Tracy McGrady,Shaquille O'Neal,Gilbert Arenas,Dwyane Wade,Carmelo Anthony,Dirk Nowitzki,Kevin Durant,Stephen Curry
Which team won the 2008 NBA title?,Boston Celtics,Los Angeles Lakers,San Antonio Spurs,Detroit Pistons,Miami Heat,Cleveland Cavaliers,Dallas Mavericks,Phoenix Suns,Orlando Magic,Toronto Raptors,Denver Nuggets
Who was the 2009 NBA MVP?,LeBron James,Kobe Bryant,Derrick Rose,Dwight Howard,Dwyane Wade,Kevin Durant,Chris Paul,Tim Duncan,Dirk Nowitzki,Steve Nash,Paul Pierce
Which team won the 2010 NBA Finals?,Los Angeles Lakers,Boston Celtics,San Antonio Spurs,Miami Heat,Dallas Mavericks,Orlando Magic,Cleveland Cavaliers,Phoenix Suns,Chicago Bulls,Denver Nuggets,Oklahoma City Thunder
Who was the 2014 NBA Finals MVP?,Kawhi Leonard,LeBron James,Tim Duncan,Tony Parker,Dwyane Wade,Kevin Durant,Stephen Curry,Klay Thompson,Chris Bosh,Dirk Nowitzki,Chris Paul
Which franchise changed its name to the New Orleans Pelicans in 2013?,New Orleans Hornets,Charlotte Bobcats,Memphis Grizzlies,Brooklyn Nets,Oklahoma City Thunder,Utah Jazz,Sacramento Kings,Atlanta Hawks,Orlando Magic,San Antonio Spurs,Indiana Pacers
Which team won the 2013 NBA title?,Miami Heat,San Antonio Spurs,Oklahoma City Thunder,Dallas Mavericks,Boston Celtics,Los Angeles Lakers,Chicago Bulls,Indiana Pacers,Brooklyn Nets,Houston Rockets,Memphis Grizzlies
Who was the 2015 NBA Finals MVP?,Andre Iguodala,Stephen Curry,LeBron James,Klay Thompson,Draymond Green,Kyrie Irving,Kevin Love,Tim Duncan,Kawhi Leonard,James Harden,Russell Westbrook
Which team won the 2017 NBA title?,Golden State Warriors,Cleveland Cavaliers,San Antonio Spurs,Boston Celtics,Houston Rockets,Toronto Raptors,Oklahoma City Thunder,Los Angeles Clippers,Miami Heat,Dallas Mavericks,Philadelphia 76ers
Who was the 2017 NBA Finals MVP?,Kevin Durant,Stephen Curry,LeBron James,Kyrie Irving,Klay Thompson,Draymond Green,Andre Iguodala,James Harden,Russell Westbrook,Kawhi Leonard,Chris Paul
Which team won the 2018 NBA title?,Golden State Warriors,Cleveland Cavaliers,Houston Rockets,Boston Celtics,Toronto Raptors,Philadelphia 76ers,San Antonio Spurs,Oklahoma City Thunder,Utah Jazz,Portland Trail Blazers,Miami Heat
